ans_id,q_id,answer,is_correct,created_at,upated_at
1,1,answer else,True,1991-08-18,1991-08-18
2,1,four room,False,1985-01-27,1985-01-27
3,1,writer become,False,2000-03-19,2000-03-19
4,1,after thought,False,1977-02-02,1977-02-02
5,2,address government,False,1988-01-11,1988-01-11
6,2,beat own,False,1999-02-01,1999-02-01
7,2,actually part,False,1989-07-13,1989-07-13
8,2,executive theory,True,2005-09-09,2005-09-09
9,3,stock many,False,1991-06-05,1991-06-05
10,3,second detail,False,2012-01-01,2012-01-01
11,3,nothing own,True,1994-08-10,1994-08-10
12,3,purpose but,False,1993-01-16,1993-01-16
13,4,seem modern,False,2010-01-12,2010-01-12
14,4,value water,False,1989-12-21,1989-12-21
15,4,reach most,False,1971-01-22,1971-01-22
16,4,wonder old,True,1985-03-28,1985-03-28
17,5,professional middle,False,2020-03-06,2020-03-06
18,5,sea join,True,2010-11-09,2010-11-09
19,5,movement maintain,False,1974-11-15,1974-11-15
20,5,prepare million,False,2018-09-13,2018-09-13
21,6,only end,False,1993-06-30,1993-06-30
22,6,sound travel,False,2005-03-15,2005-03-15
23,6,analysis film,False,1982-04-15,1982-04-15
24,6,sort side,True,1979-02-17,1979-02-17
25,7,off long,True,2007-08-08,2007-08-08
26,7,guess bill,False,1980-02-08,1980-02-08
27,7,financial each,False,2011-03-25,2011-03-25
28,7,religious indicate,False,2010-11-26,2010-11-26
29,8,cover ever,False,1985-10-14,1985-10-14
30,8,movement opportunity,False,2003-05-04,2003-05-04
31,8,remain type,True,1984-04-18,1984-04-18
32,8,bank conference,False,2002-10-05,2002-10-05
33,9,foreign drug,False,1975-03-15,1975-03-15
34,9,nation hotel,False,1995-03-16,1995-03-16
35,9,seven lay,False,1972-07-07,1972-07-07
36,9,more poor,True,1981-06-05,1981-06-05
37,10,author simple,False,1978-10-09,1978-10-09
38,10,report teach,False,2000-02-28,2000-02-28
39,10,security provide,True,1989-11-20,1989-11-20
40,10,rock table,False,1984-08-20,1984-08-20
41,11,upon from,False,2008-03-09,2008-03-09
42,11,everybody someone,False,1975-02-20,1975-02-20
43,11,difference recognize,False,1978-03-17,1978-03-17
44,11,never us,True,2006-02-21,2006-02-21
45,12,western stay,True,1980-12-24,1980-12-24
46,12,at economic,False,1972-11-13,1972-11-13
47,12,evidence more,False,2007-12-21,2007-12-21
48,12,owner quite,False,2017-05-26,2017-05-26
49,13,wife course,False,2002-02-16,2002-02-16
50,13,window stage,True,1978-02-19,1978-02-19
51,13,character stuff,False,1986-11-10,1986-11-10
52,13,budget too,False,1978-03-06,1978-03-06
53,14,yard somebody,False,1991-05-10,1991-05-10
54,14,each attention,False,1976-09-23,1976-09-23
55,14,finally forget,True,1999-04-12,1999-04-12
56,14,conference hour,False,1971-07-24,1971-07-24
57,15,scientist officer,False,2021-02-18,2021-02-18
58,15,beat machine,False,2017-04-26,2017-04-26
59,15,condition deal,False,2016-09-05,2016-09-05
60,15,heart ask,True,1983-05-04,1983-05-04
61,16,whose career,True,1989-01-24,1989-01-24
62,16,tell fine,False,2009-04-21,2009-04-21
63,16,meet wrong,False,1988-09-22,1988-09-22
64,16,kid stand,False,2000-10-17,2000-10-17
65,17,floor keep,True,1979-02-01,1979-02-01
66,17,few however,False,2018-08-11,2018-08-11
67,17,everything people,False,2009-12-19,2009-12-19
68,17,recognize at,False,1976-03-28,1976-03-28
69,18,daughter draw,True,1981-03-22,1981-03-22
