id,s_id,a_id,created_at,upated_at
1,1,1313,1982-06-03,1982-06-03
2,1,3914,2000-01-16,2000-01-16
3,1,3422,1981-02-19,1981-02-19
4,1,943,2004-06-28,2004-06-28
5,1,2452,2016-08-20,2016-08-20
6,2,488,1989-11-08,1989-11-08
7,3,431,2016-07-13,2016-07-13
8,3,2811,1974-03-25,1974-03-25
9,3,1951,1978-08-04,1978-08-04
10,4,3294,2019-11-24,2019-11-24
11,4,1565,1992-01-31,1992-01-31
12,5,980,1991-09-15,1991-09-15
13,5,3348,1972-02-20,1972-02-20
14,5,2489,1992-12-03,1992-12-03
15,6,3154,1985-07-14,1985-07-14
16,6,1638,1987-04-10,1987-04-10
17,6,4844,1994-02-26,1994-02-26
18,7,3334,1973-06-19,1973-06-19
19,7,1532,2007-03-28,2007-03-28
20,8,1783,2004-11-16,2004-11-16
21,9,2674,2001-08-21,2001-08-21
22,9,630,2010-07-16,2010-07-16
23,9,331,1994-04-03,1994-04-03
24,9,1005,1970-10-09,1970-10-09
25,9,488,1998-09-21,1998-09-21
26,10,4653,2018-11-06,2018-11-06
27,10,884,1981-08-31,1981-08-31
28,10,3089,1989-08-28,1989-08-28
29,10,3750,2005-10-28,2005-10-28
30,10,414,2004-07-27,2004-07-27
31,11,1284,2009-05-14,2009-05-14
32,11,3963,1987-06-26,1987-06-26
33,11,1620,2002-09-17,2002-09-17
34,11,1060,1982-07-21,1982-07-21
35,12,77,2009-08-05,2009-08-05
36,12,1438,2014-02-14,2014-02-14
37,12,1149,2016-07-22,2016-07-22
38,12,989,1972-05-04,1972-05-04
39,13,4713,2009-11-04,2009-11-04
40,13,3108,1970-07-03,1970-07-03
41,14,4080,1994-03-29,1994-03-29
42,14,3326,1975-03-25,1975-03-25
43,15,1906,1982-06-15,1982-06-15
44,15,4963,2018-04-16,2018-04-16
45,15,841,2009-09-05,2009-09-05
46,16,3202,1999-05-27,1999-05-27
47,16,553,1992-06-03,1992-06-03
48,17,2264,2007-10-08,2007-10-08
49,17,2342,2007-02-24,2007-02-24
50,18,147,2012-03-14,2012-03-14
51,18,2968,1982-12-14,1982-12-14
52,18,4382,2019-09-21,2019-09-21
53,18,719,2013-05-24,2013-05-24
54,19,940,1973-08-05,1973-08-05
55,19,2395,1990-05-03,1990-05-03
56,20,4062,2011-06-06,2011-06-06
57,20,1227,1993-01-23,1993-01-23
58,20,4276,2016-12-18,2016-12-18
59,21,3389,2019-03-17,2019-03-17
60,21,3790,1988-01-29,1988-01-29
61,22,1707,1993-08-11,1993-08-11
62,22,3731,1978-07-24,1978-07-24
63,22,2256,2002-12-29,2002-12-29
64,22,129,2019-04-27,2019-04-27
65,23,1776,2018-08-31,2018-08-31
66,23,1468,2011-11-13,2011-11-13
67,23,1058,1972-09-22,1972-09-22
68,24,2571,1988-10-14,1988-10-14
69,24,3118,1996-07-31,1996-07-31
70,25,1067,1979-04-17,1979-04-17
71,25,3617,1977-11-10,1977-11-10
72,25,4760,1994-03-17,1994-03-17
73,25,2080,2013-12-15,2013-12-15
74,26,2408,2014-04-06,2014-04-06
75,26,3475,1993-11-15,1993-11-15
76,26,247,1983-07-31,1983-07-31
77,26,1347,2014-02-07,2014-02-07
78,27,3923,1978-07-14,1978-07-14
79,27,760,1985-01-01,1985-01-01
80,27,2980,1974-09-17,1974-09-17
81,27,4015,2019-03-27,2019-03-27
82,27,3897,2004-01-04,2004-01-04
