id,u_id,b_id,created_at,upated_at
1,1,456,2014-10-29,2014-10-29
2,1,2552,2015-06-29,2015-06-29
3,1,2738,2004-05-24,2004-05-24
4,2,2146,1972-06-11,1972-06-11
5,2,3621,1983-03-28,1983-03-28
6,3,1406,1970-07-23,1970-07-23
7,3,1271,2002-12-11,2002-12-11
8,4,4333,1972-09-24,1972-09-24
9,4,4907,1973-01-03,1973-01-03
10,4,3020,2002-07-23,2002-07-23
11,4,1110,1978-12-27,1978-12-27
12,4,3508,1979-03-04,1979-03-04
13,5,1352,1972-04-18,1972-04-18
14,5,3434,2009-03-02,2009-03-02
15,6,214,2010-03-20,2010-03-20
16,6,2906,1989-05-15,1989-05-15
17,6,4118,1982-08-25,1982-08-25
18,6,2979,2004-09-06,2004-09-06
19,6,4270,1984-04-26,1984-04-26
20,7,2746,2006-08-13,2006-08-13
21,7,3199,1976-03-22,1976-03-22
22,7,1914,1970-02-17,1970-02-17
23,8,1805,1990-01-21,1990-01-21
24,8,4660,1995-08-09,1995-08-09
25,9,817,2009-08-27,2009-08-27
26,9,1202,1970-09-28,1970-09-28
27,9,2374,1977-10-23,1977-10-23
28,9,2355,1994-11-30,1994-11-30
29,10,749,1970-01-22,1970-01-22
30,11,4605,1989-04-06,1989-04-06
31,11,585,1977-12-18,1977-12-18
32,11,1442,2000-07-16,2000-07-16
33,12,2638,2004-01-05,2004-01-05
34,13,1846,2017-11-30,2017-11-30
35,13,2791,2012-05-08,2012-05-08
36,14,3239,2016-12-31,2016-12-31
37,15,1924,1996-07-13,1996-07-13
38,16,3513,1993-04-11,1993-04-11
39,16,297,2019-08-20,2019-08-20
40,16,2259,1981-02-19,1981-02-19
41,16,406,1984-07-21,1984-07-21
42,16,1083,1992-12-02,1992-12-02
43,17,3122,2019-12-24,2019-12-24
44,17,4444,2002-05-16,2002-05-16
45,17,746,1985-01-11,1985-01-11
46,17,3403,2000-12-31,2000-12-31
47,17,4585,1989-01-30,1989-01-30
48,18,4014,1992-08-24,1992-08-24
49,19,2807,2003-03-14,2003-03-14
50,19,2147,1993-08-23,1993-08-23
51,20,3524,1976-05-31,1976-05-31
52,21,2328,2004-01-04,2004-01-04
53,22,1161,2020-12-30,2020-12-30
54,22,2650,1985-05-24,1985-05-24
55,22,2874,2007-04-26,2007-04-26
56,22,4514,1998-08-10,1998-08-10
57,22,287,1972-10-18,1972-10-18
58,23,777,1977-02-13,1977-02-13
59,23,344,2000-10-02,2000-10-02
60,24,3882,2007-09-04,2007-09-04
61,24,2984,1971-07-10,1971-07-10
62,24,587,2003-02-12,2003-02-12
63,24,4064,2000-02-24,2000-02-24
64,24,2051,2013-10-27,2013-10-27
65,25,1601,2005-11-12,2005-11-12
66,25,2296,1974-07-06,1974-07-06
67,25,4474,1987-03-24,1987-03-24
68,25,272,1998-01-08,1998-01-08
69,25,1612,1987-04-13,1987-04-13
70,26,4790,2012-04-05,2012-04-05
71,26,1234,1983-10-05,1983-10-05
72,27,1091,1981-08-02,1981-08-02
73,28,2948,1980-06-12,1980-06-12
74,28,4994,1977-03-21,1977-03-21
75,28,3902,1983-04-01,1983-04-01
76,28,4722,1997-07-16,1997-07-16
77,28,3554,1976-08-01,1976-08-01
78,29,1685,1976-01-14,1976-01-14
79,29,4309,1980-10-24,1980-10-24
80,30,3916,2004-07-10,2004-07-10
81,31,4306,1985-08-10,1985-08-10
82,31,1217,2005-04-15,2005-04-15
83,31,1494,2000-11-22,2000-11-22
84,31,1642,2000-10-21,2000-10-21
85,31,3298,1970-12-22,1970-12-22
86,32,3472,2001-07-19,2001-07-19
87,32,3412,1974-08-12,1974-08-12
88,32,233,1983-12-01,1983-12-01
89,33,1596,1976-12-05,1976-12-05
90,34,1658,1985-10-23,1985-10-23
91,34,843,2015-11-05,2015-11-05
92,35,37,1997-04-23,1997-04-23
93,36,846,2002-07-27,2002-07-27
94,36,4619,1984-10-21,1984-10-21
95,37,2879,2019-10-28,2019-10-28
96,37,4681,2002-05-12,2002-05-12
97,38,4214,2015-06-27,2015-06-27
98,38,4499,2012-06-05,2012-06-05
99,39,3890,2018-02-10,2018-02-10
100,39,1535,2003-10-19,2003-10-19
101,39,3400,1991-08-23,1991-08-23
102,39,13,2009-08-17,2009-08-17
103,39,3368,1977-09-04,1977-09-04
104,40,4297,1976-12-21,1976-12-21
105,40,1473,1987-11-15,1987-11-15
106,40,3518,1972-09-17,1972-09-17
107,40,4793,1998-03-14,1998-03-14
108,41,1065,2009-05-18,2009-05-18
109,41,3371,1981-06-12,1981-06-12
110,42,2177,1987-07-30,1987-07-30
111,42,1541,1993-07-12,1993-07-12
112,43,2252,1979-09-02,1979-09-02
113,43,1413,1979-05-09,1979-05-09
114,43,3792,2004-07-12,2004-07-12
115,43,648,2014-12-07,2014-12-07
116,43,84,1973-05-03,1973-05-03
117,44,3660,2017-08-25,2017-08-25
118,44,709,2013-04-25,2013-04-25
119,45,1448,1972-12-28,1972-12-28
120,45,1397,1989-12-13,1989-12-13
121,45,3255,2012-08-03,2012-08-03
122,45,2455,2005-09-29,2005-09-29
123,45,1913,2002-08-31,2002-08-31
124,46,3085,1987-04-23,1987-04-23
125,46,1222,1973-10-14,1973-10-14
126,46,3275,1984-04-17,1984-04-17
127,46,4761,1983-11-07,1983-11-07
128,46,1330,1980-04-08,1980-04-08
129,47,2182,1980-09-30,1980-09-30
130,47,1180,1979-10-27,1979-10-27
131,47,2869,2018-04-09,2018-04-09
132,48,4859,1988-01-27,1988-01-27
133,48,2310,2011-10-09,2011-10-09
134,48,425,1993-05-14,1993-05-14
135,49,1617,1984-03-04,1984-03-04
136,49,242,1974-11-27,1974-11-27
137,49,1995,1971-07-24,1971-07-24
138,49,505,2003-02-21,2003-02-21
139,50,4476,1994-09-02,1994-09-02
140,51,1196,1995-08-09,1995-08-09
141,52,1304,1980-11-19,1980-11-19
142,53,858,2006-01-04,2006-01-04
143,53,92,1996-07-20,1996-07-20
144,54,2014,1985-01-04,1985-01-04
145,54,650,1991-11-11,1991-11-11
146,55,3861,1996-02-19,1996-02-19
147,55,1267,1999-08-19,1999-08-19
148,55,1157,1976-02-04,1976-02-04
149,55,3782,1992-03-25,1992-03-25
150,56,1293,1971-02-12,1971-02-12
151,56,919,2000-06-19,2000-06-19
152,57,1353,2001-03-06,2001-03-06
153,57,814,1970-09-09,1970-09-09
154,58,3632,2008-02-01,2008-02-01
155,59,2197,1970-06-15,1970-06-15
156,59,3946,1977-04-12,1977-04-12
157,59,3339,2002-10-10,2002-10-10
158,59,3646,2006-11-09,2006-11-09
159,60,2830,2018-02-21,2018-02-21
160,60,2250,2017-01-16,2017-01-16
161,60,2267,2009-08-30,2009-08-30
162,60,2867,1984-09-26,1984-09-26
163,60,463,2019-07-02,2019-07-02
164,61,3894,1995-12-21,1995-12-21
165,61,4611,1988-06-28,1988-06-28
166,62,4886,1989-07-26,1989-07-26
167,62,797,2009-08-26,2009-08-26
168,63,2953,2010-07-11,2010-07-11
169,64,1782,1974-12-13,1974-12-13
170,64,3445,2011-11-12,2011-11-12
171,64,2136,1980-05-13,1980-05-13
172,64,2645,1975-03-23,1975-03-23
173,64,3675,1977-06-29,1977-06-29
174,65,253,1976-04-22,1976-04-22
175,65,918,2015-07-31,2015-07-31
176,65,3775,1993-08-12,1993-08-12
177,65,1411,1983-08-23,1983-08-23
178,65,2822,2003-08-09,2003-08-09
179,66,4875,1992-12-12,1992-12-12
180,67,1405,1991-08-09,1991-08-09
181,67,3843,1988-10-21,1988-10-21
182,67,2423,2020-06-14,2020-06-14
183,68,4936,2018-11-14,2018-11-14
184,68,1986,1978-04-06,1978-04-06
185,68,4047,2017-05-30,2017-05-30
186,68,3540,1997-01-26,1997-01-26
187,69,3183,1975-09-20,1975-09-20
