t_id,q_id,question,type,created_at,upated_at
1,1,available but a clear but exist mean news space entire base theory,choose,1980-02-13,1980-02-13
1,2,garden step now look federal try forward need ball never test sea,choose,1973-06-05,1973-06-05
1,3,drug role trade offer near everybody loss nature important loss although environmental,choose,1980-01-22,1980-01-22
1,4,right glass end but arm every peace throw sit itself hold enter,choose,2006-10-06,2006-10-06
2,5,author girl place special pay several present me day make easy whatever,choose,2008-03-02,2008-03-02
2,6,card among claim pay evening traditional common watch present gun should other,choose,1977-03-25,1977-03-25
2,7,make peace about technology night space reach piece well both high prevent,choose,2008-10-14,2008-10-14
2,8,majority not course physical age close reveal run mention main food the,choose,1992-09-12,1992-09-12
3,9,respond fall difficult power they because door real would use trade hour,choose,1976-02-08,1976-02-08
3,10,price return different scientist speech response education American kitchen really feel program,choose,2015-10-04,2015-10-04
3,11,hear customer travel country control wrong program design people history some and,choose,2016-03-29,2016-03-29
3,12,sort car sense position small note race us tonight stuff network rest,choose,1989-07-13,1989-07-13
4,13,fear true box animal goal get ground whom statement film ten feel,choose,2011-02-21,2011-02-21
4,14,board guy not stock claim enough hotel show school stop Republican once,choose,1971-08-15,1971-08-15
4,15,president difficult guess discussion account step analysis discuss discussion yeah TV woman,choose,1987-04-06,1987-04-06
4,16,push until never Democrat always guess travel let audience same people trial,choose,2001-11-22,2001-11-22
5,17,national country hard know entire right both support me dark behind policy,choose,2018-10-14,2018-10-14
5,18,successful drop eat note hospital anything people when experience southern management action,choose,2019-09-05,2019-09-05
5,19,admit major level outside participant kind small example wrong job no table,choose,2015-04-08,2015-04-08
5,20,policy outside clearly serve wear computer teach break place your attention hair,choose,1995-07-06,1995-07-06
6,21,rich group plant Mr nature experience protect learn them religious spring data,choose,2007-03-02,2007-03-02
6,22,to society war night without return painting at together over accept major,choose,1977-01-28,1977-01-28
6,23,can including term generation unit myself teach choice attorney evidence ahead land,choose,1987-01-07,1987-01-07
6,24,street safe wrong season whether memory cost wait two sing billion security,choose,2019-11-23,2019-11-23
7,25,good door my always language and against former southern charge however arrive,choose,1983-02-24,1983-02-24
7,26,same chance large no ok outside mind cold though PM paper situation,choose,1993-06-03,1993-06-03
7,27,investment sure number increase try read seem whole tell edge how recent,choose,1978-04-06,1978-04-06
7,28,article indicate lay network plant nation realize year charge work both result,choose,1997-06-13,1997-06-13
8,29,person serve require us share billion rate rate media more respond investment,choose,2019-06-19,2019-06-19
8,30,player movement television occur late blood school sport against ground administration provide,choose,1991-05-21,1991-05-21
8,31,so say onto present sure dog field local best minute medical this,choose,1987-01-18,1987-01-18
8,32,set cut parent relate make likely peace modern heavy sport term country,choose,1985-12-08,1985-12-08
9,33,reason could agency method worry debate language toward opportunity sense care exist,choose,1988-12-21,1988-12-21
9,34,region town speak image peace into deal moment eye fear your argue,choose,1986-10-14,1986-10-14
9,35,be any again movement white gun not forward likely teacher cover billion,choose,1996-12-11,1996-12-11
9,36,nor peace site office stand check big debate building above building policy,choose,1982-03-08,1982-03-08
10,37,draw thing anything contain boy different mission visit material camera wide wonder,choose,1974-02-16,1974-02-16
10,38,such against light national seat space position environmental camera thing suggest paper,choose,1983-09-19,1983-09-19
10,39,she once fact along population research that need result still sort dinner,choose,2008-01-19,2008-01-19
10,40,fight wear represent mention somebody address choose what account news floor arm,choose,1977-09-18,1977-09-18
11,41,very simply Congress data continue walk meet whole sister live girl try,choose,2012-06-05,2012-06-05
11,42,investment although or decade draw amount phone garden approach foot activity wish,choose,2017-02-08,2017-02-08
11,43,here audience which skin already environment exist spring not call movement chair,choose,2003-07-18,2003-07-18
11,44,task not ahead create let enough whatever allow might remain low member,choose,2008-10-17,2008-10-17
12,45,human including range organization for half would enough too our operation start,choose,1996-07-27,1996-07-27
12,46,sport item become treatment around condition affect every stop here happy return,choose,1984-01-05,1984-01-05
12,47,piece man feel strong assume voice goal fear student good camera single,choose,1996-01-01,1996-01-01
12,48,career ball prepare recent include become physical body explain send black article,choose,1995-05-05,1995-05-05
13,49,open baby pull individual reality nothing far size new letter wonder board,choose,1998-06-06,1998-06-06
13,50,course plan yes Congress movie order maybe alone west other because crime,choose,1984-03-26,1984-03-26
13,51,or personal again child talk health their address course form study and,choose,1971-10-17,1971-10-17
13,52,interest history discover sort collection happy increase north fill reveal actually visit,choose,2010-03-31,2010-03-31
14,53,ten size degree walk seem better third Mrs blood list choice administration,choose,2000-10-23,2000-10-23
14,54,machine five family explain course fish fill able Democrat strong debate operation,choose,1994-03-22,1994-03-22
14,55,half believe southern sing little security mean traditional heavy newspaper describe onto,choose,2009-10-05,2009-10-05
14,56,raise half name perhaps buy standard individual industry table investment student season,choose,2008-05-25,2008-05-25
15,57,report doctor forward economic spring seat this painting let scene energy woman,choose,1992-10-21,1992-10-21
15,58,front soon parent break fight who special arm inside important itself right,choose,1997-11-23,1997-11-23
15,59,positive our white speech break start cost western modern avoid down Democrat,choose,1985-10-23,1985-10-23
15,60,live ahead guess although activity treatment chair live officer particular value imagine,choose,2005-08-10,2005-08-10
16,61,item your indeed season game main half within entire strong measure artist,choose,2013-05-06,2013-05-06
16,62,no community adult law during course thank really fill understand song production,choose,2007-11-27,2007-11-27
16,63,bill institution evidence thus relationship debate leg weight exactly Democrat window particularly,choose,2015-11-12,2015-11-12
16,64,drug build new improve him group study while green peace degree help,choose,1982-03-26,1982-03-26
17,65,society American seem into catch wear level several none himself billion determine,choose,1978-11-15,1978-11-15
17,66,believe establish space traditional her later pattern site name between war head,choose,1991-10-21,1991-10-21
17,67,detail network within strategy yet push final should wish send turn building,choose,1979-01-26,1979-01-26
17,68,choose blood teacher energy could generation indicate rule than task strong point,choose,1983-08-21,1983-08-21
18,69,spend feeling late media parent expert fund wait himself yourself street member,choose,2013-05-20,2013-05-20
18,70,half soon air ball half dream area paper occur security close decision,choose,1974-08-17,1974-08-17
18,71,cause center rich concern will go media popular wish decision official sound,choose,1995-09-05,1995-09-05
18,72,method fish before cultural professor education leg commercial interest discuss machine show,choose,2012-12-22,2012-12-22
19,73,personal he ahead behavior indeed poor phone perform as student employee thank,choose,2017-07-12,2017-07-12
19,74,under compare finish certainly weight audience without cause sense purpose affect top,choose,1990-12-17,1990-12-17
19,75,past suggest finally war chair team fine according board by without score,choose,1977-03-09,1977-03-09
19,76,TV song where type type positive economic sign parent pass huge administration,choose,2003-05-22,2003-05-22
20,77,ability themselves view attorney mention campaign owner part culture production which feeling,choose,1995-03-27,1995-03-27
20,78,center maybe argue fire change single idea total the study unit article,choose,2016-07-13,2016-07-13
20,79,best pretty determine continue cold product receive especially free third do window,choose,1988-06-30,1988-06-30
20,80,finally certainly set herself receive system ability process large indicate window third,choose,2020-01-04,2020-01-04
21,81,whom interesting floor idea remember fast production drop idea return require tell,choose,2015-11-17,2015-11-17
21,82,couple while view foreign store a fly course budget just order moment,choose,2004-02-03,2004-02-03
21,83,two specific evening city continue attack light explain add watch defense man,choose,2003-05-26,2003-05-26
21,84,point lay anyone call coach voice speak management born nor goal election,choose,1972-05-11,1972-05-11
22,85,strong provide mother five how us check develop early ball four unit,choose,1991-05-22,1991-05-22
22,86,set hair there computer front travel style card rise ability body stage,choose,2017-09-07,2017-09-07
22,87,really brother film win beat away consumer past growth writer respond watch,choose,2004-05-07,2004-05-07
22,88,heart street source enjoy modern loss debate star assume their church during,choose,1970-07-09,1970-07-09
23,89,nature security source past them method enter experience society task Mr seem,choose,1995-09-12,1995-09-12
23,90,author serious bill security door chance happy himself leg company girl be,choose,1997-07-31,1997-07-31
23,91,turn money lose grow business parent court either when very think natural,choose,1995-08-26,1995-08-26
23,92,manage certain operation rule field education enter would fast in save modern,choose,1977-10-10,1977-10-10
24,93,enough boy improve bit admit skill appear professional can major interest although,choose,1996-02-02,1996-02-02
24,94,exactly memory benefit somebody decade improve those wall mission theory full word,choose,2011-12-14,2011-12-14
24,95,wear sort whether discuss science box stage collection thing travel trial everybody,choose,1975-02-07,1975-02-07
24,96,less capital effort service with moment stop simple party write show training,choose,1995-06-20,1995-06-20
25,97,understand one parent we movement unit cut at two performance hand senior,choose,2010-07-12,2010-07-12
25,98,lead street eight meeting friend message top democratic professor laugh yes daughter,choose,2010-06-08,2010-06-08
25,99,watch create care ten season guess group growth class start join series,choose,2000-07-23,2000-07-23
25,100,front have investment history certain writer form pick standard ahead hundred still,choose,2009-09-10,2009-09-10
26,101,investment thank outside add remember take daughter once prepare story machine reveal,choose,1973-09-25,1973-09-25
26,102,economy eight dark stand anything big should compare visit growth of poor,choose,1995-09-27,1995-09-27
26,103,those when assume card building stay hot sign need several on million,choose,2003-06-12,2003-06-12
26,104,tend example meet record option program least while development decision sense grow,choose,1983-04-09,1983-04-09
27,105,Democrat ok per task pay shake degree source single reveal street official,choose,1996-11-19,1996-11-19
