ans_id,q_id,answer,is_correct,created_at,upated_at
1,1,would answer,False,2012-01-26,2012-01-26
2,1,for room,True,2013-07-30,2013-07-30
3,1,though fact,False,1992-10-26,1992-10-26
4,1,pressure television,False,1972-04-18,1972-04-18
5,2,people voice,False,1984-01-15,1984-01-15
6,2,her recently,False,2020-03-05,2020-03-05
7,2,security fact,False,2020-11-12,2020-11-12
8,2,expert nice,True,2004-05-23,2004-05-23
9,3,company little,True,2002-02-18,2002-02-18
10,3,goal blood,False,2018-04-16,2018-04-16
11,3,oil himself,False,1994-07-28,1994-07-28
12,3,feeling international,False,1989-08-09,1989-08-09
13,4,mind staff,False,1987-12-13,1987-12-13
14,4,point structure,False,2002-05-16,2002-05-16
15,4,interest machine,False,2004-11-02,2004-11-02
16,4,firm right,True,2014-10-17,2014-10-17
17,5,hour what,True,1992-04-14,1992-04-14
18,5,table human,False,1979-12-07,1979-12-07
19,5,war rather,False,2002-12-29,2002-12-29
20,5,radio relate,False,1975-04-30,1975-04-30
21,6,friend fish,False,1977-12-01,1977-12-01
22,6,land first,False,1977-05-12,1977-05-12
23,6,whom name,False,1998-01-12,1998-01-12
24,6,certain view,True,1986-02-18,1986-02-18
25,7,five decade,False,2014-01-26,2014-01-26
26,7,stay think,False,1978-09-01,1978-09-01
27,7,both whole,False,1982-11-03,1982-11-03
28,7,black together,True,2014-05-31,2014-05-31
29,8,nice how,True,1976-09-06,1976-09-06
30,8,pull wide,False,1974-03-13,1974-03-13
31,8,view bag,False,2016-07-30,2016-07-30
32,8,identify voice,False,2006-07-13,2006-07-13
33,9,again bill,False,2014-09-12,2014-09-12
34,9,type much,True,2006-12-21,2006-12-21
35,9,debate oil,False,2000-07-25,2000-07-25
36,9,church seek,False,2010-04-13,2010-04-13
37,10,piece coach,False,2018-10-02,2018-10-02
38,10,civil business,True,1987-12-06,1987-12-06
39,10,performance game,False,2006-03-23,2006-03-23
40,10,run glass,False,1989-10-23,1989-10-23
41,11,ball physical,True,2010-05-03,2010-05-03
42,11,possible factor,False,2009-08-19,2009-08-19
43,11,time individual,False,1993-11-07,1993-11-07
44,11,oil almost,False,2013-02-12,2013-02-12
45,12,consider never,False,2006-09-20,2006-09-20
46,12,north sort,False,2018-10-21,2018-10-21
47,12,whom place,True,1984-07-17,1984-07-17
48,12,market try,False,1987-03-23,1987-03-23
49,13,sell last,True,1984-05-15,1984-05-15
50,13,white offer,False,1998-06-14,1998-06-14
51,13,expert resource,False,1985-06-21,1985-06-21
52,13,field although,False,1999-08-17,1999-08-17
53,14,write reason,False,1978-05-11,1978-05-11
54,14,add foreign,True,1988-10-15,1988-10-15
55,14,certain voice,False,2013-01-12,2013-01-12
56,14,fish eat,False,1995-08-24,1995-08-24
57,15,grow accept,False,2003-12-14,2003-12-14
58,15,increase information,False,2004-05-17,2004-05-17
59,15,cover western,True,1976-10-29,1976-10-29
60,15,often indeed,False,2008-11-11,2008-11-11
61,16,quite natural,False,1996-12-23,1996-12-23
62,16,store then,True,1970-06-12,1970-06-12
63,16,something lay,False,1988-07-30,1988-07-30
64,16,early respond,False,2011-02-20,2011-02-20
65,17,low international,False,1997-06-04,1997-06-04
66,17,top recent,False,2016-02-26,2016-02-26
67,17,here Republican,True,1970-07-29,1970-07-29
68,17,politics try,False,2008-12-05,2008-12-05
69,18,image pick,False,2019-06-27,2019-06-27
70,18,wait season,False,1983-01-03,1983-01-03
71,18,look good,False,1977-03-22,1977-03-22
72,18,event explain,True,1983-08-13,1983-08-13
73,19,wall collection,False,2016-10-10,2016-10-10
74,19,pick never,True,1973-11-15,1973-11-15
75,19,large son,False,1995-08-11,1995-08-11
76,19,keep official,False,1996-07-09,1996-07-09
77,20,never hotel,True,1984-06-02,1984-06-02
78,20,best nor,False,1993-01-01,1993-01-01
79,20,also thing,False,2005-07-16,2005-07-16
80,20,star upon,False,1973-04-18,1973-04-18
81,21,now character,False,1981-02-10,1981-02-10
82,21,interesting of,False,1988-01-01,1988-01-01
83,21,magazine quality,True,1990-03-14,1990-03-14
84,21,this week,False,1991-05-21,1991-05-21
