id,a_id,b_id,created_at,upated_at
1,2789,1,2020-02-23,2020-02-23
2,858,2,2011-06-11,2011-06-11
3,77,3,1986-06-01,1986-06-01
4,3426,3,1991-05-15,1991-05-15
5,4267,3,2007-06-15,2007-06-15
6,2687,4,1983-05-02,1983-05-02
7,990,5,2020-07-10,2020-07-10
8,1802,5,1996-08-15,1996-08-15
9,2063,6,1992-04-30,1992-04-30
10,4749,6,1982-12-12,1982-12-12
11,4107,7,1976-04-29,1976-04-29
12,537,8,2021-01-10,2021-01-10
13,742,8,1988-12-09,1988-12-09
14,2013,9,2005-07-08,2005-07-08
15,1018,9,1991-01-30,1991-01-30
16,1317,9,1995-11-25,1995-11-25
17,636,10,1994-11-01,1994-11-01
18,4583,11,1987-11-28,1987-11-28
19,1926,11,1981-08-16,1981-08-16
20,1792,12,1986-12-05,1986-12-05
21,4701,12,2001-01-25,2001-01-25
22,3173,13,2010-09-26,2010-09-26
23,3166,14,1989-12-24,1989-12-24
24,2991,15,1994-06-25,1994-06-25
25,914,16,1987-11-07,1987-11-07
26,4685,16,2012-12-05,2012-12-05
27,1974,17,2002-11-29,2002-11-29
28,980,17,2009-02-18,2009-02-18
29,1993,18,2016-06-18,2016-06-18
30,1897,18,2001-02-18,2001-02-18
31,2840,19,1978-09-26,1978-09-26
32,421,19,2002-01-13,2002-01-13
33,4802,20,2001-08-20,2001-08-20
34,4871,20,2000-10-30,2000-10-30
35,2775,21,1975-11-05,1975-11-05
36,2415,21,2012-08-01,2012-08-01
37,1981,22,2019-04-03,2019-04-03
38,1639,22,1970-10-03,1970-10-03
39,1545,22,2011-05-01,2011-05-01
40,3173,23,1993-01-20,1993-01-20
41,687,23,1993-08-11,1993-08-11
42,3442,23,1974-07-23,1974-07-23
43,3876,24,2001-11-24,2001-11-24
44,1963,24,1997-02-27,1997-02-27
45,501,24,1987-01-13,1987-01-13
46,3207,25,1998-04-27,1998-04-27
47,2989,25,1988-11-28,1988-11-28
48,4391,26,1985-06-09,1985-06-09
