c_id,u_id,b_id,created_at
1,1,3621,1973-05-14
2,1,11156,2011-01-31
3,1,6417,2020-12-11
4,2,920,1978-01-24
5,2,8282,2005-08-17
6,2,1105,1998-09-13
7,3,9196,1973-08-28
8,3,3984,2010-07-02
9,3,5288,1979-06-10
10,4,1117,2009-10-04
11,4,2391,1982-04-21
12,4,10702,2012-04-10
13,5,8811,2012-02-23
14,5,10265,1999-05-08
15,5,3950,1982-04-25
16,6,11789,1988-04-28
17,6,4623,1971-11-14
18,6,9274,1994-11-27
19,7,4633,1988-03-11
20,7,9406,1981-02-23
21,7,7960,2015-05-08
22,8,3520,1980-01-17
23,8,906,1989-02-10
24,8,5572,1970-03-07
25,9,6043,1982-05-12
26,9,9070,2002-01-22
27,9,8940,1976-04-02
28,10,7601,2013-08-09
29,10,9090,1976-08-12
30,10,8811,1970-05-19
31,11,952,2006-04-06
32,11,775,2001-10-22
33,11,10178,1986-07-09
34,12,8866,2007-02-24
35,12,10675,2020-07-17
36,12,4820,1998-08-13
37,13,11061,1973-12-14
38,13,7543,1994-11-16
39,13,6756,1972-06-05
40,14,11318,1991-03-26
41,14,4382,2019-08-09
42,14,5091,1991-05-27
43,15,3284,1995-10-18
44,15,9165,1972-05-30
45,15,10515,1974-12-20
46,16,48,1998-01-12
47,16,3911,1982-01-15
48,16,2626,2014-08-06
49,17,4657,1990-01-12
50,17,4472,1972-11-08
51,17,452,2006-12-19
52,18,3181,2019-07-30
53,18,2184,2020-03-11
54,18,105,1971-04-07
55,19,5827,1971-08-08
56,19,11099,1984-12-10
57,19,11944,1973-11-03
58,20,5838,1980-09-20
59,20,6810,1998-10-05
60,20,5643,1992-02-17
61,21,11453,1980-07-30
62,21,8810,2005-10-21
63,21,7756,1981-03-29
64,22,2994,1992-07-18
65,22,6117,1970-11-17
66,22,8950,1998-01-30
67,23,7862,1981-12-17
68,23,5008,1996-05-24
69,23,2216,2009-09-01
70,24,7731,1972-10-11
71,24,3238,2001-03-23
72,24,5019,2021-03-06
73,25,5993,2009-11-01
