t_id,q_id,question,type,created_at,upated_at
1,1,time black ten fight record ground today clearly kid they talk box,choose,1979-10-04,1979-10-04
1,2,stand adult many how safe still this catch amount sing other issue,choose,1977-04-11,1977-04-11
1,3,someone degree environmental book to detail now need director catch involve artist,choose,2018-10-21,2018-10-21
1,4,speak president across chair floor democratic poor suddenly may nearly four send,choose,2008-02-14,2008-02-14
2,5,whom customer employee along none own myself modern also drop claim what,choose,2005-11-20,2005-11-20
2,6,what course nor manage administration serious stuff off either benefit friend life,choose,2014-10-20,2014-10-20
2,7,recognize different manager professional base another less yard nearly look discussion free,choose,1990-11-13,1990-11-13
2,8,education our picture especially either half could town difficult TV camera too,choose,2015-05-19,2015-05-19
3,9,than party history simple ball manager today together dinner wait can much,choose,1970-10-29,1970-10-29
3,10,even work high green enough old represent skill suffer hour new itself,choose,2014-02-06,2014-02-06
3,11,west man laugh civil health energy score any place girl southern herself,choose,2001-09-21,2001-09-21
3,12,section little teacher set positive indicate security training bit industry far glass,choose,1985-12-04,1985-12-04
4,13,pretty beautiful total war including information he test world prevent speak surface,choose,1989-01-11,1989-01-11
4,14,lead cup step total local rate conference her leg same face store,choose,2002-12-07,2002-12-07
4,15,TV back clearly trade management recently lot firm market baby from item,choose,1970-10-23,1970-10-23
4,16,soon money Democrat consumer defense tonight figure in smile around garden impact,choose,2000-03-22,2000-03-22
5,17,someone left market toward they teacher prove now property family beat everyone,choose,1987-07-01,1987-07-01
5,18,sea ability up energy must many place purpose media local check goal,choose,2021-02-26,2021-02-26
5,19,necessary relationship huge approach recent cold administration positive production building far woman,choose,2020-02-05,2020-02-05
5,20,job writer seat try kitchen from from father lawyer bank charge task,choose,1986-05-21,1986-05-21
6,21,finally beyond find discuss realize foreign important child majority each after lot,choose,1982-05-29,1982-05-29
6,22,traditional series other sort others thing board resource source run husband face,choose,1973-11-06,1973-11-06
6,23,hit doctor husband skill if rather trial citizen rather night never term,choose,1988-04-17,1988-04-17
6,24,civil value most seem your Mrs page form most fact this she,choose,2003-10-14,2003-10-14
7,25,whatever dinner effect politics product case together smile hot might role eat,choose,1970-09-11,1970-09-11
7,26,street staff whose real step network get quite bag rock likely still,choose,1986-07-18,1986-07-18
7,27,growth dinner enjoy analysis whether bank everyone behind event value since show,choose,2012-11-30,2012-11-30
7,28,remember often about hand serve score somebody house either bring film citizen,choose,1979-12-06,1979-12-06
8,29,page travel sign consider around bad avoid game large seek never live,choose,2018-07-01,2018-07-01
8,30,what however certainly Republican no act training American again evidence form worker,choose,2016-10-03,2016-10-03
8,31,sit member season available public traditional leave start set operation customer natural,choose,1999-12-24,1999-12-24
8,32,service artist weight value hospital alone each of seem feeling power case,choose,1977-10-23,1977-10-23
9,33,cultural effect thus administration quite scientist history realize technology baby professional history,choose,1983-03-12,1983-03-12
9,34,almost turn dream ball concern whatever whose need draw loss partner total,choose,2008-11-02,2008-11-02
9,35,from stand usually former especially alone sort thought other end inside cause,choose,2011-11-15,2011-11-15
9,36,body people some floor explain bag budget never ahead approach this site,choose,2018-08-02,2018-08-02
10,37,understand customer late term strong data hold save fill decision interest pull,choose,2000-04-05,2000-04-05
10,38,upon budget race wide son newspaper service risk century training ready before,choose,1997-04-12,1997-04-12
10,39,western figure base that general teacher remember big choose commercial claim degree,choose,2002-02-11,2002-02-11
10,40,mind house president fund bank base street economy indeed morning job red,choose,2000-12-28,2000-12-28
11,41,left total employee back ask increase whatever food short someone final raise,choose,2017-03-07,2017-03-07
11,42,have rock policy especially responsibility career reduce history though almost none record,choose,2006-12-27,2006-12-27
11,43,similar rest seat blood fill new fast remember themselves hotel which dinner,choose,2013-03-24,2013-03-24
11,44,leg minute property career movie better impact own term big country and,choose,2019-11-26,2019-11-26
12,45,adult individual plant education television significant require sometimes sure stock itself issue,choose,2017-01-01,2017-01-01
12,46,help indeed around build kind people feel church bag method firm nice,choose,2003-05-12,2003-05-12
12,47,scene paper month save sign big side lead vote end carry use,choose,1991-03-25,1991-03-25
12,48,least campaign day five should chance far word home summer source laugh,choose,1999-09-17,1999-09-17
13,49,marriage before front material base kitchen really unit catch talk few professional,choose,1979-12-04,1979-12-04
13,50,window against vote thing line hold raise scientist general lead employee quality,choose,1995-07-16,1995-07-16
13,51,where understand general same rock phone they that idea customer effort why,choose,2019-11-18,2019-11-18
13,52,truth general movie suffer thousand fast style it natural certain lose reality,choose,1977-04-17,1977-04-17
14,53,evidence include hit participant various senior similar apply experience test operation night,choose,2010-05-27,2010-05-27
14,54,special one win lawyer fire tell listen product six first data foot,choose,1994-12-05,1994-12-05
14,55,mouth magazine would individual war eat by another around when central court,choose,1986-10-16,1986-10-16
