id,s_id,b_id
9,9,2069
10,9,3715
11,9,955
12,9,3308
13,9,1806
14,9,2862
15,9,219
16,9,4202
17,9,1229
18,9,4622
19,9,4129
20,9,3897
21,9,1085
22,9,2168
23,9,3618
24,9,4105
25,9,3778
26,9,3709
27,9,3838
28,9,2755
29,9,4878
30,9,2643
31,9,3824
32,9,4920
33,9,4770
34,9,4876
35,9,2467
36,9,2651
37,9,2543
38,9,4865
39,10,51
40,10,4570
41,10,1074
42,10,3482
43,10,3496
44,10,1640
45,10,4737
46,10,390
47,10,3316
48,10,3249
49,10,2535
50,10,2091
51,10,4987
52,11,4861
53,11,3010
54,11,495
55,11,3084
56,12,834
57,12,4619
58,12,933
59,12,1716
60,12,2647
61,12,306
62,12,2
63,12,3458
64,12,2560
65,12,2330
66,12,2848
67,12,1276
68,12,109
69,12,3126
70,13,2411
71,13,563
72,13,2965
73,13,3160
74,13,616
75,13,3838
76,13,3333
77,13,1340
78,13,2098
79,13,315
80,13,1662
81,13,3857
82,13,4645
83,13,4868
84,13,424
85,13,3476
86,13,4754
87,13,1064
