s_id,a_id
5,1837
5,1316
5,3655
5,1579
5,1732
5,1826
8,630
8,1276
8,733
8,1953
8,1075
8,3592
8,4616
8,4332
8,4043
8,1141
8,2016
8,1548
10,2495
10,777
10,3286
10,3046
10,1235
10,4068
14,2418
14,741
14,2576
14,4224
14,4173
14,3703
14,2927
14,4707
14,2450
14,2998
14,4588
15,909
15,2896
15,1089
15,967
15,1935
15,2064
16,3201
16,3284
16,2274
16,2794
16,3992
16,3517
16,2337
16,1295
17,4750
17,1106
17,1779
17,3084
17,288
17,3680
17,2599
19,550
19,354
19,2881
19,2665
19,3268
19,2883
19,2367
19,1344
22,1963
22,3016
22,1844
22,284
22,3101
22,178
22,1905
22,423
22,384
22,461
24,2047
24,4897
24,4070
24,4713
24,1468
24,2490
24,351
24,4974
25,4499
25,2140
25,476
25,3946
25,991
25,4191
25,2775
25,1012
25,2655
25,3179
26,130
26,2635
26,3268
26,4124
26,2915
26,616
26,3810
26,4234
26,695
31,1072
31,2783
31,2563
31,732
31,3490
31,2760
31,1196
31,3884
31,2314
31,3514
31,4544
31,1444
34,4883
34,4482
34,73
34,3465
34,4915
34,3325
34,2826
34,312
34,2564
34,1915
37,2967
37,1660
37,2405
37,4948
37,2248
37,4406
45,496
45,2411
45,2203
45,416
45,3786
45,2378
45,2608
53,2246
53,499
53,601
53,2317
53,1731
53,1911
53,4055
55,2548
55,1168
55,4930
55,4312
55,1686
55,3390
55,1987
66,3055
66,1667
66,1334
66,1482
66,3384
66,3143
72,641
72,3068
72,4692
72,1989
72,3972
72,759
72,4610
72,3748
76,1929
76,4863
76,3095
76,1911
76,4345
76,4592
76,670
77,2865
77,3461
77,4866
77,1825
77,2147
77,3290
77,70
77,2677
77,412
83,3498
83,611
83,3562
83,1355
83,434
83,4175
83,1841
88,3748
88,4285
88,1279
88,1916
88,3484
88,626
88,1879
89,1540
89,3471
89,1144
89,1108
89,1286
89,4001
89,2270
101,3352
101,2443
101,2493
101,254
101,3847
101,3415
101,1032
101,3253
103,508
103,932
103,473
103,2907
103,2194
103,607
103,2430
103,2664
103,3879
103,4856
106,2518
106,2667
106,1437
106,1149
106,3854
106,2994
108,3378
108,4680
108,215
108,121
108,1342
108,3282
108,2370
108,4389
114,449
114,3111
114,3037
114,2939
114,1026
114,4806
114,3964
114,2454
114,2306
114,476
114,4716
127,3349
127,3686
127,1394
127,4498
127,3160
127,291
127,4772
127,4504
127,1714
130,1733
130,4822
130,4698
130,1477
130,4859
130,4828
130,4113
130,4378
130,4523
131,1441
131,4234
131,521
131,1078
131,849
131,3887
131,1763
131,3618
132,968
132,1985
132,728
132,1129
132,948
132,3566
132,2818
132,1284
132,3461
132,2297
136,1151
136,3986
136,144
136,535
136,4135
136,4220
136,82
137,2840
137,4885
137,1709
137,4337
137,193
137,2258
137,638
137,2391
137,394
138,2709
138,4470
138,266
138,1141
138,1522
138,2833
138,3313
138,2015
138,239
138,387
138,1709
142,304
142,1290
142,1298
142,3358
142,1316
142,4471
142,152
142,2918
142,4456
145,4196
145,4299
145,4969
145,4974
145,1032
145,3806
145,685
145,1996
145,3870
145,1101
145,696
145,1816
153,1042
153,3292
153,509
153,738
153,2849
153,2808
153,4631
153,3531
153,3111
153,1534
153,2445
153,4293
159,1358
159,848
159,788
159,3346
159,3237
159,1354
159,370
159,3123
159,3855
159,2594
159,2456
162,3416
162,352
162,4256
162,2913
162,3374
162,3758
162,4874
162,3488
163,2870
163,3751
163,3107
163,2823
163,4023
163,2791
163,4660
163,540
163,881
163,2355
163,2363
163,4760
167,2658
167,4473
167,3035
167,1775
167,181
167,2190
167,4365
167,4457
167,3117
169,637
169,3970
169,2833
169,646
169,494
169,1557
169,1190
171,215
171,3170
171,3368
171,1932
171,4451
171,3430
171,4464
174,1983
174,1302
174,2394
174,4950
174,1644
174,125
174,2448
174,2509
180,764
180,4408
180,1822
180,4243
180,946
180,2518
180,3161
180,4836
180,351
181,3757
181,2659
181,1149
181,1050
181,2233
181,4225
181,4462
181,476
181,264
183,1297
183,4320
183,683
183,3179
183,4826
183,4158
183,2783
183,3843
183,1449
183,4487
183,988
187,3819
187,671
187,4443
187,3491
187,630
187,4634
187,1066
190,4135
190,2182
190,532
190,3833
190,2162
190,2972
190,760
190,2143
190,3301
193,4117
193,1830
193,2358
193,937
193,192
193,3105
201,4273
201,3436
201,212
201,511
201,2993
201,200
201,483
206,2553
206,2242
206,1160
206,3248
206,1113
206,3135
206,4629
206,1177
209,4999
209,3850
209,1954
209,1110
209,3279
209,50
209,2351
209,3982
209,4793
209,4792
210,3051
210,2805
210,3149
210,3825
210,3780
210,4856
210,3690
211,882
211,3371
211,4684
211,4057
211,920
211,3456
211,931
211,1732
217,3738
217,3534
217,420
217,4800
217,4844
217,231
217,4762
217,2013
217,4654
217,563
226,4330
226,4991
226,1839
226,1460
226,1182
226,80
226,1418
226,2139
226,2115
226,3300
226,3992
227,4335
227,3448
227,2356
227,4768
227,2277
227,3395
227,1230
227,3388
227,3510
227,2711
227,2578
227,1627
228,696
228,860
228,1377
228,4590
228,3000
228,3726
228,1945
228,1537
229,4377
229,1320
229,2292
229,1943
229,1133
229,928
230,816
230,884
230,3882
230,4644
230,3226
230,1064
230,954
230,638
237,4331
237,3072
237,263
237,4069
237,818
237,311
242,4977
242,4739
242,2259
242,746
242,4369
242,1821
243,690
243,1370
243,4307
243,4698
243,2519
243,4061
243,54
243,91
247,3635
247,4487
247,1234
247,2334
247,1925
247,2591
247,3480
247,577
247,1979
247,3265
250,2061
250,1288
250,2874
250,1652
250,2932
250,3138
250,2914
250,2427
250,3703
250,2897
250,455
250,1451
251,3186
251,1754
251,3365
251,2134
251,3273
251,3652
251,4163
251,264
251,2274
253,3298
253,1529
253,1215
253,3557
