s_id,a_id
9,2588
9,514
9,2833
9,3702
9,3866
9,4478
9,3041
9,918
9,3171
9,225
9,2258
11,1598
11,2708
11,2493
11,4916
11,1023
11,2211
13,1037
13,4114
13,1057
13,2358
13,3668
13,4220
13,1765
13,4297
13,2036
13,3686
27,4548
27,1378
27,1877
27,3032
27,4427
27,4258
27,2568
27,757
27,2719
27,4070
27,3987
27,4674
36,1052
36,2117
36,4554
36,1384
36,3768
36,3477
38,1747
38,1962
38,3814
38,3794
38,758
38,2766
38,1469
38,4903
38,3100
38,4336
38,1822
38,4367
39,3606
39,3548
39,1735
39,557
39,1860
39,411
39,3093
39,1326
39,417
39,1504
39,3604
50,4221
50,3368
50,4489
50,4472
50,261
50,2166
50,3356
50,1242
50,308
50,384
50,2721
51,1950
51,3599
51,3116
51,1156
51,3683
51,1159
51,2604
51,294
51,1813
54,2425
54,270
54,2992
54,3631
54,171
54,3677
54,2305
56,208
56,165
56,534
56,106
56,933
56,3485
56,4023
56,2093
56,3269
56,4506
63,2322
63,2896
63,743
63,2788
63,4924
63,320
63,4915
63,4933
63,2763
68,3282
68,3902
68,68
68,3720
68,3627
68,1579
71,1344
71,4850
71,2534
71,1150
71,3827
71,4259
71,4858
71,2224
71,62
71,2421
71,854
71,3111
74,1189
74,1094
74,750
74,3166
74,4161
74,831
74,2246
74,1406
75,2676
75,3202
75,4077
75,405
75,2851
75,2965
75,3730
75,4306
82,3485
82,794
82,1749
82,1288
82,243
82,2007
82,2708
82,2350
82,4372
82,4357
82,3802
82,3337
84,1450
84,2803
84,2945
84,2555
84,3857
84,3035
84,1372
84,3649
85,2799
85,2734
85,3748
85,4038
85,496
85,1137
85,2342
85,1480
85,4780
85,3414
90,354
90,805
90,4641
90,1012
90,2144
90,3252
90,3095
98,4395
98,2665
98,4863
98,549
98,599
98,1011
98,1423
98,1859
98,3372
104,4005
104,2719
104,3654
104,2709
104,1876
104,3584
104,4275
104,344
104,3520
104,13
104,4553
104,4204
110,2682
110,4704
110,4515
110,203
110,280
110,3268
110,3998
110,2993
117,4141
117,3767
117,4069
117,4812
117,732
117,770
117,2036
117,2388
117,1244
117,4637
119,4403
119,4114
119,793
119,3240
119,1831
119,845
120,952
120,2880
120,808
120,2675
120,2010
120,3426
120,2357
120,2129
120,4704
121,3908
121,1998
121,3345
121,4788
121,4632
121,1981
121,358
121,2077
121,1236
123,4429
123,2614
123,663
123,4453
123,87
123,3320
123,397
124,3226
124,4722
124,2323
124,2052
124,1820
124,907
124,3490
124,773
124,515
133,3966
133,3979
133,2262
133,4381
133,3169
133,4104
134,3837
134,1035
134,4765
134,2719
134,132
134,3785
134,3045
134,4215
134,4478
134,4026
139,2657
139,4099
139,2924
139,3036
139,320
139,2630
141,821
141,586
141,2261
141,3342
141,135
141,1481
141,2333
141,2036
141,4492
141,1739
141,1081
149,2947
149,61
149,2943
149,2567
149,748
149,4908
149,742
149,4714
149,1139
156,3790
156,2784
156,4949
156,4182
156,317
156,1038
156,3377
156,1708
156,1679
156,3173
156,4220
158,3983
158,3177
158,1864
158,3274
158,412
158,348
165,3911
165,866
165,507
165,1949
165,1079
165,308
165,2733
165,318
165,1456
