s_id,title,type,created_at,upated_at
1,ever,author,1973-02-17,1973-02-17
2,state,tests,2006-01-05,2006-01-05
3,every,author,1987-08-19,1987-08-19
4,administration,author,2001-06-13,2001-06-13
5,sell,authors,1995-10-22,1995-10-22
6,down,author,2006-10-06,2006-10-06
7,hand,tests,1995-04-05,1995-04-05
8,affect,authors,2017-09-21,2017-09-21
9,case,category,2012-11-24,2012-11-24
10,south,authors,1995-12-18,1995-12-18
11,establish,category,2017-03-17,2017-03-17
12,fine,tests,1970-10-11,1970-10-11
13,right,category,1988-06-22,1988-06-22
14,stand,authors,2012-08-23,2012-08-23
15,foreign,authors,2019-04-08,2019-04-08
16,he,authors,1987-08-04,1987-08-04
17,class,authors,2008-12-06,2008-12-06
18,improve,author,1976-10-27,1976-10-27
19,improve,authors,2015-12-09,2015-12-09
20,big,tests,1978-03-11,1978-03-11
21,language,tests,2003-04-06,2003-04-06
22,building,authors,1987-08-01,1987-08-01
23,expert,author,2011-05-23,2011-05-23
24,couple,authors,1985-08-20,1985-08-20
25,who,authors,1973-07-30,1973-07-30
26,another,authors,2007-12-14,2007-12-14
27,operation,category,1996-09-16,1996-09-16
28,two,author,2015-08-17,2015-08-17
29,continue,tests,2005-05-09,2005-05-09
30,rich,tests,1992-03-01,1992-03-01
31,process,authors,1993-03-12,1993-03-12
32,read,tests,1987-07-17,1987-07-17
33,cut,author,1994-05-01,1994-05-01
34,president,authors,2007-02-18,2007-02-18
35,career,tests,2014-06-02,2014-06-02
36,take,category,1987-06-11,1987-06-11
37,provide,authors,1976-11-19,1976-11-19
38,explain,category,1988-09-30,1988-09-30
39,partner,category,1975-12-03,1975-12-03
40,them,author,1979-04-14,1979-04-14
41,tough,author,1975-12-19,1975-12-19
42,pressure,tests,1991-07-28,1991-07-28
43,under,author,2015-02-16,2015-02-16
44,address,tests,1976-03-25,1976-03-25
45,standard,authors,1986-09-04,1986-09-04
46,summer,tests,2016-03-11,2016-03-11
47,present,author,2016-04-19,2016-04-19
48,young,author,1982-06-05,1982-06-05
49,smile,author,1976-03-28,1976-03-28
50,nature,category,2002-08-01,2002-08-01
51,article,category,2008-05-20,2008-05-20
52,run,author,2005-10-07,2005-10-07
53,discover,authors,2004-12-22,2004-12-22
54,feeling,category,2009-03-26,2009-03-26
55,perhaps,authors,1996-05-25,1996-05-25
56,include,category,1971-08-15,1971-08-15
57,figure,tests,2014-05-08,2014-05-08
58,a,tests,1979-11-01,1979-11-01
59,make,tests,2011-05-30,2011-05-30
60,which,author,1985-02-15,1985-02-15
61,Democrat,tests,2012-02-27,2012-02-27
62,pay,tests,1972-06-11,1972-06-11
63,choose,category,1983-12-22,1983-12-22
64,until,tests,2019-12-29,2019-12-29
65,parent,tests,1998-02-26,1998-02-26
66,work,authors,1998-01-13,1998-01-13
67,onto,author,1989-03-07,1989-03-07
68,push,category,1981-12-08,1981-12-08
69,quality,author,1996-04-07,1996-04-07
70,cold,tests,1981-11-13,1981-11-13
71,number,category,2013-10-13,2013-10-13
72,Mr,authors,1973-08-03,1973-08-03
73,save,author,1998-01-12,1998-01-12
74,win,category,1994-02-11,1994-02-11
75,strong,category,1998-07-23,1998-07-23
76,interesting,authors,1982-04-03,1982-04-03
77,cause,authors,2003-02-11,2003-02-11
78,including,author,1976-08-07,1976-08-07
79,at,tests,1974-02-19,1974-02-19
80,avoid,author,1985-09-17,1985-09-17
81,Mrs,tests,1980-11-21,1980-11-21
82,top,category,2002-07-22,2002-07-22
83,save,authors,1977-12-03,1977-12-03
84,theory,category,2009-04-02,2009-04-02
85,role,category,1998-12-02,1998-12-02
86,worry,tests,1989-09-10,1989-09-10
87,investment,tests,1995-01-21,1995-01-21
88,figure,authors,2016-07-27,2016-07-27
89,detail,authors,2014-04-13,2014-04-13
90,deal,category,1999-01-29,1999-01-29
91,green,tests,1971-12-30,1971-12-30
92,nothing,author,1976-05-26,1976-05-26
93,might,tests,2014-03-25,2014-03-25
94,question,tests,2001-02-28,2001-02-28
95,sing,author,2000-12-30,2000-12-30
96,interest,author,2005-10-27,2005-10-27
97,knowledge,author,2011-05-07,2011-05-07
98,reveal,category,1973-10-11,1973-10-11
99,mouth,author,2002-05-05,2002-05-05
100,west,tests,2004-06-29,2004-06-29
101,although,authors,2018-10-22,2018-10-22
102,seven,author,2010-11-10,2010-11-10
103,arrive,authors,1997-07-18,1997-07-18
104,collection,category,2008-12-04,2008-12-04
105,decade,tests,1988-05-30,1988-05-30
106,site,authors,1973-07-16,1973-07-16
107,although,author,1997-07-03,1997-07-03
108,social,authors,2003-12-21,2003-12-21
109,woman,tests,2003-01-08,2003-01-08
110,begin,category,1999-03-25,1999-03-25
111,return,tests,1971-11-24,1971-11-24
112,imagine,author,1992-04-08,1992-04-08
113,get,tests,1974-04-07,1974-04-07
114,both,authors,2016-12-06,2016-12-06
115,lot,tests,2018-12-06,2018-12-06
116,season,author,2004-09-24,2004-09-24
117,force,category,1985-10-28,1985-10-28
118,reality,tests,1992-04-19,1992-04-19
119,doctor,category,2012-03-25,2012-03-25
120,several,category,2008-04-17,2008-04-17
121,season,category,1992-06-09,1992-06-09
122,particular,author,1985-05-17,1985-05-17
123,even,category,2017-07-05,2017-07-05
124,know,category,2018-04-13,2018-04-13
125,author,author,1993-02-19,1993-02-19
126,through,tests,1988-02-08,1988-02-08
127,hear,authors,1999-03-16,1999-03-16
128,analysis,author,2009-04-28,2009-04-28
129,stay,author,1978-01-21,1978-01-21
130,nice,authors,2007-07-04,2007-07-04
131,rule,authors,2018-01-19,2018-01-19
132,picture,authors,2017-07-01,2017-07-01
133,again,category,1980-04-26,1980-04-26
134,trip,category,1999-06-29,1999-06-29
135,most,tests,1975-06-03,1975-06-03
136,yet,authors,1993-03-09,1993-03-09
137,kind,authors,1990-12-24,1990-12-24
138,reduce,authors,1997-08-11,1997-08-11
139,cover,category,1993-07-21,1993-07-21
140,cultural,tests,1980-05-12,1980-05-12
141,bed,category,1996-11-16,1996-11-16
142,most,authors,2005-12-01,2005-12-01
143,recently,tests,1974-08-23,1974-08-23
144,public,tests,2014-03-09,2014-03-09
145,star,authors,1977-05-18,1977-05-18
146,pressure,author,1992-06-28,1992-06-28
147,party,tests,2012-04-27,2012-04-27
148,heavy,tests,2009-07-19,2009-07-19
149,meet,category,1990-07-15,1990-07-15
150,quickly,tests,1988-07-22,1988-07-22
151,hundred,author,1974-05-11,1974-05-11
152,last,tests,1977-07-18,1977-07-18
153,win,authors,2017-10-03,2017-10-03
154,threat,tests,1985-02-01,1985-02-01
155,machine,author,1995-10-14,1995-10-14
156,particular,category,2002-06-28,2002-06-28
157,clear,tests,1975-01-17,1975-01-17
158,former,category,1971-08-19,1971-08-19
159,author,authors,2013-05-29,2013-05-29
160,main,tests,1998-02-03,1998-02-03
161,employee,author,2008-08-18,2008-08-18
162,stay,authors,1974-08-27,1974-08-27
163,another,authors,2012-02-09,2012-02-09
164,beautiful,author,1999-03-06,1999-03-06
165,other,category,1993-02-21,1993-02-21
166,pull,tests,2020-06-03,2020-06-03
167,exist,authors,2006-03-06,2006-03-06
168,different,category,2009-12-11,2009-12-11
169,reality,authors,2017-06-13,2017-06-13
170,girl,tests,1991-06-09,1991-06-09
171,property,authors,1989-05-02,1989-05-02
172,can,tests,1990-04-08,1990-04-08
173,role,tests,2009-02-25,2009-02-25
174,feel,authors,1984-08-25,1984-08-25
175,move,category,1976-11-12,1976-11-12
176,although,tests,1973-11-17,1973-11-17
177,event,category,2002-02-24,2002-02-24
178,stuff,tests,1978-03-09,1978-03-09
179,hundred,author,1992-04-23,1992-04-23
180,strategy,authors,2001-05-30,2001-05-30
181,size,authors,1971-01-18,1971-01-18
182,office,author,1997-09-30,1997-09-30
183,picture,authors,1986-08-22,1986-08-22
184,eat,category,1992-08-16,1992-08-16
185,hot,category,1996-08-25,1996-08-25
186,within,tests,1991-01-19,1991-01-19
187,ten,authors,1976-10-13,1976-10-13
188,executive,author,1976-10-19,1976-10-19
189,property,author,2015-10-02,2015-10-02
190,that,authors,2009-05-24,2009-05-24
191,local,author,2000-09-09,2000-09-09
192,not,author,2009-12-15,2009-12-15
193,process,authors,1986-10-28,1986-10-28
194,per,category,2020-07-15,2020-07-15
195,night,author,1983-06-16,1983-06-16
196,trade,tests,2007-11-25,2007-11-25
197,computer,category,1996-04-26,1996-04-26
198,begin,tests,2009-07-27,2009-07-27
